,BillNumber,BillTitle,BusinessAuthor,BusinessNumber,BusinessShortNumber,BusinessTitle,ID,IdLegislativePeriod,IdSession,Language,MeaningNo,MeaningYes,RegistrationNumber,SessionName,Subject,VoteEnd
0,1,Loi fédérale sur l'octroi d'aides financières à la fondation Bibliomedia,,20030054,03.054,Fondation Bibliomedia. Aide financière 2004-2007,1,47,4701,FR,,,17,Session d'hiver 2015,Gesamtabstimmung,2003-12-01T18:13:57
1,2,Arrêté fédéral concernant le plafond de dépenses en vue de l'octroi d'une aide financière à la fondation Bibliomedia pour la période 2004 - 2007,,20030054,03.054,Fondation Bibliomedia. Aide financière 2004-2007,2,47,4701,FR,,,18,Session d'hiver 2015,Gesamtabstimmung,2003-12-01T18:16:36
2,1,Loi fédérale sur l'octroi d'aides financières au Musée suisse des transports,,20030055,03.055,Musée suisse des transports. Aide financière 2004-2007,4,47,4701,FR,,,20,Session d'hiver 2015,Vote sur l'ensemble,2003-12-01T18:35:54
3,2,Arrêté fédéral concernant le plafond de dépenses en vue de l'octroi d'une aide financière au Musée suisse des transports pour la période 2004 - 2007,,20030055,03.055,Musée suisse des transports. Aide financière 2004-2007,5,47,4701,FR,,,21,Session d'hiver 2015,Vote sur l'ensemble,2003-12-01T18:37:29
4,1,Arrêté fédéral relatif au mandat de prestations du Conseil fédéral au domaine des EPF pour les années 2004 à 2007 (Mandat de prestations 2004 à 2007 du domaine des EPF),,20030045,03.045,EPF. Mandat de prestations pour les années 2004-2007,6,47,4701,FR,,,22,Session d'hiver 2015,Vote sur l'ensemble,2003-12-01T19:01:07
5,,,Groupe V,20020432,02.432,Maintien du secret bancaire,8,47,4701,FR,"Antrag der Minderheit (Strahm) und Antrag Vanek
= keine Folge geben
",Antrag der Mehrheit = Folge geben,27,Session d'hiver 2015,,2003-12-02T08:49:23
6,1,Loi fédérale sur les services de certification dans le domaine de la signature électronique  (SCSél),,20010044,01.044,Signature électronique. Loi,10,47,4701,FR,Antrag der Minderheit (Leutenegger Oberholzer),Antrag der Mehrheit,29,Session d'hiver 2015,"1. Zivilgesetzbuch
Art. 970a",2003-12-02T09:21:36
7,1,Loi fédérale sur le partage des valeurs patrimoniales confisquées (LVPC),,20010064,01.064,Partage des valeurs patrimoniales confisquées. Loi fédérale,13,47,4701,FR,Antrag der Minderheit  II (Leuthard),Antrag der Mehrheit,32,Session d'hiver 2015,,2003-12-02T10:39:14
8,1,Loi fédérale sur le partage des valeurs patrimoniales confisquées (LVPC),,20010064,01.064,Partage des valeurs patrimoniales confisquées. Loi fédérale,15,47,4701,FR,,,34,Session d'hiver 2015,Gesamtabstimmung,2003-12-02T10:42:13
9,1,Loi fédérale sur le partenariat enregistré entre personnes du même sexe (Loi sur le partenariat enregistré),,20020090,02.090,Partenariat enregistré entre personnes du même sexe. Loi fédérale,16,47,4701,FR,Antrag Waber + SVP = Nichteintreten,Antrag der Kommission = Eintreten,35,Session d'hiver 2015,Eintreten,2003-12-02T12:30:18
